OBJECTID,metro line,metro_station_num,metro station_name,municipal district,x-longitude,y-latitude,job-worker ratio 2011,job-worker ratio 2012,job-worker ratio 2013,job-worker ratio 2014,job-worker ratio 2015
41,Fangshan Line,9533,Liangxiang Univ. Town North,Fangshan District,116.184,39.7326,2,1,0.75,0.281632653,0.108303249
42,Daxing Line,9341,Tiangongyuan,Daxing District,116.32,39.6693,0.56928839,1.059322034,0.464231355,0.468637993,0.229591837
43,Daxing Line,9339,Biomedical Base,Daxing District,116.322,39.6876,8.625,6.153846154,1.460784314,1.366013072,0.425149701
44,Daxing Line,9335,Huangcun Railway Station,Daxing District,116.331,39.7229,0.117567568,0.120622568,0.135311143,0.171264966,0.1
45,Daxing Line,9333,Huangcun West St.,Daxing District,116.333,39.7318,0.223484848,0.320634921,0.202434337,0.207699194,0.126234133
46,Daxing Line,9331,Qingyuanlu,Daxing District,116.332,39.7427,0.181242079,0.330960854,0.193977591,0.187377691,0.12106136
47,Yizhuang T1 Line,9643,Ciqu South,Tongzhou District,116.581,39.795,0.352941176,0.019230769,0.060606061,0.161616162,0.095890411
48,Yizhuang T1 Line,9639,Tongji South Rd.,Tongzhou District,116.54,39.7732,1.262396694,0.866883117,0.747169811,0.566037736,0.566395664
49,Yizhuang T1 Line,9637,Rongchang East St.,Daxing District,116.522,39.783,6.685714286,5.571428571,2.392982456,1.471875,1.513078471
50,Yizhuang T1 Line,9635,Rongjing East St.,Daxing District,116.514,39.7933,6.909090909,8.954545455,8.05,5.622222222,6.959349593
51,Yizhuang T1 Line,9633,Wanyuan St.,Daxing District,116.507,39.8012,4.635514019,4.547619048,3.846153846,2.790640394,2.924623116
52,Yizhuang T1 Line,9631,Yizhuang Culture Park,Daxing District,116.491,39.8072,1.41221374,0.620253165,0.699481865,0.964143426,0.426512968
53,Yizhuang T1 Line,9627,Jiugong,Daxing District,116.461,39.8067,0.104831358,0.10840708,0.12967581,0.159366949,0.167210973
54,Fangshan Line,9523,Dabaotai,Fengtai District,116.292,39.8077,18.9375,22.91304348,2.865248227,1.769230769,2.08041958
55,Daxing Line,9329,Zaoyuan,Daxing District,116.332,39.7534,0.079820628,0.14967462,0.102298333,0.141456166,0.074420677
56,Daxing Line,9327,Gaomidian South,Daxing District,116.332,39.7633,0.329787234,0.576,0.444835681,0.551067073,0.536159601
57,Daxing Line,9325,Gaomidian North,Daxing District,116.331,39.7761,0.1875,0.263537906,0.196347032,0.202340506,0.155727156
58,Line 9,945,Guogongzhuang,Fengtai District,116.302,39.8143,NA,39,4.761904762,1.063291139,0.857142857
59,Line 9,943,Fengtai Science Park,Fengtai District,116.297,39.8252,NA,NA,NA,11.48546512,28.91
60,Fangshan Line,9527,Changyang,Fangshan District,116.213,39.7638,0.121212121,0.176470588,0.143162393,0.092972182,0.037727851
61,Fangshan Line,9531,Guangyangcheng,Fangshan District,116.185,39.7483,0.034482759,0.060606061,0.033707865,0.139175258,0.079027356
62,Line 14 (West Section),1429,Dajing,Fengtai District,116.274,39.8652,NA,NA,NA,0.368852459,0.284444444
63,Line 14 (West Section),1425,Dawayao,Fengtai District,116.237,39.8548,NA,NA,NA,0.325,0.164383562
64,Line 14 (West Section),1423,Garden Expo Park,Fengtai District,116.208,39.8585,NA,NA,NA,0.232824427,0.147368421
65,Line 10,9049,Niwa,Fengtai District,116.304,39.8556,NA,NA,NA,0.427201395,0.314102564
66,Line 10,9047,Fengtai Railway Station,Fengtai District,116.305,39.8499,NA,NA,NA,0.146428571,0.085164835
67,Line 10,9043,Jijiamiao,Fengtai District,116.336,39.8446,NA,NA,0.642857143,0.873271889,0.461077844
68,Line 10,9041,Caoqiao,Fengtai District,116.359,39.8459,NA,NA,0.27761194,0.377966102,0.285524568
69,Line 10,1055,Lianhuaqiao,Haidian District,116.31,39.8983,NA,NA,0.851851852,1.209705373,1.217125382
70,Line 10,1045,Shoujingmao,Fengtai District,116.32,39.8445,NA,NA,0.088469185,0.185575049,0.103119032
71,Line 9,941,Keyilu,Fengtai District,116.297,39.8324,NA,NA,NA,0.885536823,0.755829904
72,Line 9,939,Fengtai South Rd.,Fengtai District,116.296,39.8414,NA,NA,NA,0.297943568,0.224256293
73,Line 9,937,Fengtai East St.,Fengtai District,116.294,39.8515,NA,NA,NA,0.32489083,0.250688705
74,Line 9,935,Qilizhuang,Fengtai District,116.294,39.8661,NA,NA,NA,0.588715664,0.485555556
75,Line 9,933,Liuliqiao,Fengtai District,116.303,39.8806,NA,NA,NA,0.448514851,0.408163265
76,Line 9,931,Liuliqiao East,Fengtai District,116.315,39.8868,NA,NA,NA,0.291883842,0.175504458
77,Line 7,929,Beijing West Railway Station,Xicheng District,116.321,39.8948,NA,NA,NA,1.449643947,2.273356401
78,Line 7,727,Guanganmen Inner,Xicheng District,116.354,39.8893,NA,NA,NA,NA,2.09569378
79,Line 7,725,Daguanying,Xicheng District,116.341,39.8897,NA,NA,NA,NA,0.332798717
80,Line 7,723,Wanzi,Xicheng District,116.327,39.8901,NA,NA,NA,NA,0.921167883
